"run","discount","nblock","type","row","names","par","true_par","convergence"
1,0,6,1,1,"size",0.112861901093144,0.333666666666667,0
1,0,6,1,1,"shape",0.85127263172864,0.333,0
1,0,6,1,1,"color",0.0358654671782166,0.333333333333333,0
1,0,6,1,1,"lambda",9.99999999419099,1,0
1,0,6,1,1,"r",1.97799392323514,1,0
1,0,6,1,1,"q",1.39173953756079,1,0
1,0,6,1,1,"b0",0.444219065200006,0.5,0
1,0,6,1,1,"b1",0.555780934799994,0.5,0
1,0,6,1,1,"tau",0.21540118738128,0.1,0
2,0,6,1,1,"size",0.387821521444789,0.333666666666667,0
2,0,6,1,1,"shape",0.493552453883139,0.333,0
2,0,6,1,1,"color",0.118626024672072,0.333333333333333,0
2,0,6,1,1,"lambda",9.99999998100796,1,0
2,0,6,1,1,"r",1.24604238515485,1,0
2,0,6,1,1,"q",1.99960249752253,1,0
2,0,6,1,1,"b0",0.439402672006158,0.5,0
2,0,6,1,1,"b1",0.560597327993842,0.5,0
2,0,6,1,1,"tau",0.104517943270435,0.1,0
3,0,6,1,1,"size",0.879972950998001,0.333666666666667,0
3,0,6,1,1,"shape",0.0523499403282655,0.333,0
3,0,6,1,1,"color",0.0676771086737333,0.333333333333333,0
3,0,6,1,1,"lambda",1.35996961840751,1,0
3,0,6,1,1,"r",1.99999998423108,1,0
3,0,6,1,1,"q",1.00000003315249,1,0
3,0,6,1,1,"b0",0.489036445109572,0.5,0
3,0,6,1,1,"b1",0.510963554890428,0.5,0
3,0,6,1,1,"tau",0.080277435407316,0.1,0
4,0,6,1,1,"size",0.404870723456172,0.333666666666667,0
4,0,6,1,1,"shape",0.433525820379319,0.333,0
4,0,6,1,1,"color",0.16160345616451,0.333333333333333,0
4,0,6,1,1,"lambda",9.99999999329011,1,0
4,0,6,1,1,"r",1.41141785391072,1,0
4,0,6,1,1,"q",1.90028275082374,1,0
4,0,6,1,1,"b0",0.390945344702237,0.5,0
4,0,6,1,1,"b1",0.609054655297763,0.5,0
4,0,6,1,1,"tau",0.205562916092086,0.1,0
5,0,6,1,1,"size",0.00327434877650567,0.333666666666667,0
5,0,6,1,1,"shape",0.985946706273853,0.333,0
5,0,6,1,1,"color",0.0107789449496411,0.333333333333333,0
5,0,6,1,1,"lambda",3.87596095774385,1,0
5,0,6,1,1,"r",1.99999998888322,1,0
5,0,6,1,1,"q",1.00000002125398,1,0
5,0,6,1,1,"b0",0.49161227443125,0.5,0
5,0,6,1,1,"b1",0.50838772556875,0.5,0
5,0,6,1,1,"tau",0.0929615386899695,0.1,0
6,0,6,1,1,"size",0.553672351020678,0.333666666666667,0
6,0,6,1,1,"shape",0.00100043803000563,0.333,0
6,0,6,1,1,"color",0.445327210949317,0.333333333333333,0
6,0,6,1,1,"lambda",0.611487975829991,1,0
6,0,6,1,1,"r",1.00000002910703,1,0
6,0,6,1,1,"q",1.99999995163696,1,0
6,0,6,1,1,"b0",0.482495747231632,0.5,0
6,0,6,1,1,"b1",0.517504252768368,0.5,0
6,0,6,1,1,"tau",0.0697809846189479,0.1,0
7,0,6,1,1,"size",0.600445306392982,0.333666666666667,0
7,0,6,1,1,"shape",0.25086404126372,0.333,0
7,0,6,1,1,"color",0.148690652343298,0.333333333333333,0
7,0,6,1,1,"lambda",9.99999957968562,1,0
7,0,6,1,1,"r",1.07746463464173,1,0
7,0,6,1,1,"q",1.99998332738137,1,0
7,0,6,1,1,"b0",0.457775912093312,0.5,0
7,0,6,1,1,"b1",0.542224087906688,0.5,0
7,0,6,1,1,"tau",0.0772963584028917,0.1,0
8,0,6,1,1,"size",0.304615470373304,0.333666666666667,0
8,0,6,1,1,"shape",0.308415224608528,0.333,0
8,0,6,1,1,"color",0.386969305018168,0.333333333333333,0
8,0,6,1,1,"lambda",9.99999965309747,1,0
8,0,6,1,1,"r",1.99999999866483,1,0
8,0,6,1,1,"q",1.00000003453016,1,0
8,0,6,1,1,"b0",0.987289563061541,0.5,0
