"","run","discount","nblock","type","row","names","par","true_par","convergence"
"91",13,0,30,1,1,"tau",0.209041992615351,0.1,0
"92",14,0,30,1,1,"size",0.0697967802444461,0.01,0
"93",14,0,30,1,1,"shape",0.00100002542637543,0.01,0
"94",14,0,30,1,1,"color",0.929203194329179,0.98,0
"95",14,0,30,1,1,"lambda",2.20282334186076,1,0
"96",14,0,30,1,1,"b0",0.565147483003735,0.5,0
"97",14,0,30,1,1,"b1",0.434852516996265,0.5,0
"98",14,0,30,1,1,"tau",0.171722154717808,0.1,0
"99",15,0,30,1,1,"size",0.168274290501124,0.01,0
"100",15,0,30,1,1,"shape",0.158685809990442,0.01,0
"101",15,0,30,1,1,"color",0.673039899508434,0.98,0
"102",15,0,30,1,1,"lambda",1.88703788637343,1,0
"103",15,0,30,1,1,"b0",0.287874881994831,0.5,0
"104",15,0,30,1,1,"b1",0.712125118005169,0.5,0
"105",15,0,30,1,1,"tau",0.0377692315829584,0.1,0
"106",16,0,30,1,1,"size",0.00100001116708988,0.01,0
"107",16,0,30,1,1,"shape",0.0010000000000007,0.01,0
"108",16,0,30,1,1,"color",0.997999988832909,0.98,0
"109",16,0,30,1,1,"lambda",6.03009179913785,1,0
"110",16,0,30,1,1,"b0",0.964813199995111,0.5,0
"111",16,0,30,1,1,"b1",0.0351868000048894,0.5,0
"112",16,0,30,1,1,"tau",0.211950478080054,0.1,0
"113",17,0,30,1,1,"size",0.2040191420074,0.01,0
"114",17,0,30,1,1,"shape",0.176073127752116,0.01,0
"115",17,0,30,1,1,"color",0.619907730239798,0.98,0
"116",17,0,30,1,1,"lambda",1.33087681586349,1,0
"117",17,0,30,1,1,"b0",0.338764338864405,0.5,0
"118",17,0,30,1,1,"b1",0.661235661136239,0.5,0
"119",17,0,30,1,1,"tau",0.0191557022735375,0.1,0
"120",18,0,30,1,1,"size",0.00100001104157641,0.01,0
"121",18,0,30,1,1,"shape",0.00100000005760837,0.01,0
"122",18,0,30,1,1,"color",0.997999988900815,0.98,0
"123",18,0,30,1,1,"lambda",9.17283798750186,1,0
"124",18,0,30,1,1,"b0",0.246423190525604,0.5,0
"125",18,0,30,1,1,"b1",0.753576809479655,0.5,0
"126",18,0,30,1,1,"tau",0.209355983823335,0.1,0
"127",19,0,30,1,1,"size",0.00100025576189021,0.01,0
"128",19,0,30,1,1,"shape",0.001,0.01,0
"129",19,0,30,1,1,"color",0.99799974423811,0.98,0
"130",19,0,30,1,1,"lambda",3.97727937707744,1,0
