"","run","discount","nblock","type","row","names","par","true_par","convergence"
"90",5,3,30,1,2,"shape",0.275809668771936,0.1,0
"91",1,3,30,1,3,"size",0.67181169157265,0.333666666666667,0
"92",1,3,30,1,3,"shape",0.00100116926631016,0.333,0
"93",1,3,30,1,3,"color",0.32718713916104,0.333333333333333,0
"94",1,3,30,1,3,"lambda",9.99988899564772,1,0
"95",1,3,30,1,3,"b0",0.765058495487079,1,0
"96",1,3,30,1,3,"b1",0.234941504512921,1,0
"97",1,3,30,1,3,"tau",1.38256152000938,0.5,0
"98",1,3,30,1,3,"size",0.67181169157265,0.5,0
"99",1,3,30,1,3,"shape",0.00100116926631016,0.3,0
"100",2,3,30,1,3,"size",0.184876608099823,0.333666666666667,0
"101",2,3,30,1,3,"shape",0.00105475362935715,0.333,0
"102",2,3,30,1,3,"color",0.814068638272135,0.333333333333333,0
"103",2,3,30,1,3,"lambda",6.92452901397252,1,0
"104",2,3,30,1,3,"b0",0.0316146780984446,1,0
"105",2,3,30,1,3,"b1",0.968385321901555,1,0
"106",2,3,30,1,3,"tau",1.61512133693793,0.5,0
"107",2,3,30,1,3,"size",0.184876608099823,0.5,0
"108",2,3,30,1,3,"shape",0.00105475362935715,0.3,0
"109",3,3,30,1,3,"size",0.881741880841571,0.333666666666667,0
"110",3,3,30,1,3,"shape",0.00100000000740089,0.333,0
"111",3,3,30,1,3,"color",0.117258119151028,0.333333333333333,0
"112",3,3,30,1,3,"lambda",1.69114862819244,1,0
"113",3,3,30,1,3,"b0",0.485810189364232,1,0
"114",3,3,30,1,3,"b1",0.514189810635768,1,0
"115",3,3,30,1,3,"tau",0.165645863830584,0.5,0
"116",3,3,30,1,3,"size",0.881741880841571,0.5,0
"117",3,3,30,1,3,"shape",0.00100000000740089,0.3,0
"118",4,3,30,1,3,"size",0.240097635093642,0.333666666666667,0
"119",4,3,30,1,3,"shape",0.00100000018314031,0.333,0
"120",4,3,30,1,3,"color",0.758902364723218,0.333333333333333,0
"121",4,3,30,1,3,"lambda",0.609121557511849,1,0
"122",4,3,30,1,3,"b0",0.513338152657577,1,0
"123",4,3,30,1,3,"b1",0.486661847342403,1,0
"124",4,3,30,1,3,"tau",0.507119602991248,0.5,0
